id,ident,type,name,municipality,iso_country,iata,icao,latitude_deg,longitude_deg
5315,OYGD,medium_airport,Al Ghaydah International Airport,Al Ghaydah,YE,AAY,OYGD,16.193341,52.174186
5317,OYRN,large_airport,Riyan International Airport,Mukalla(Riyan),YE,RIY,OYRN,14.662241,49.375289
5318,OYSN,large_airport,Sanaa International Airport,Sanaa,YE,SAH,OYSN,15.4763,44.2197
5319,OYSQ,medium_airport,Socotra Airport,Mori,YE,SCT,OYSQ,12.632093,53.906173
5320,OYSY,large_airport,Seiyun Hadhramaut International Airport,Seiyun,YE,GXF,OYSY,15.965887,48.788146
5321,OYTZ,medium_airport,Taiz International Airport,Taiz,YE,TAI,OYTZ,13.686,44.139099
16190,PAAK,small_airport,Atka Airport,Atka,US,AKB,PAAK,52.220299,-174.205994
16094,PAAP,seaplane_base,Port Alexander Seaplane Base,Port Alexander,US,PTD,PAAP,56.246799,-134.647995
5337,PABA,medium_airport,Barter Island Long Range Radar Station Airport,Barter Island,US,BTI,PABA,70.134003,-143.582001
5338,PABE,medium_airport,Bethel Airport,Bethel,US,BET,PABE,60.77980042,-161.8379974
5340,PABL,small_airport,Buckland Airport,Buckland,US,BKC,PABL,65.981598,-161.149002
5342,PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,US,BRW,PABR,71.285402,-156.766008
5343,PABT,small_airport,Bettles Airport,Bettles,US,BTT,PABT,66.913902,-151.529007
5345,PACD,medium_airport,Cold Bay Airport,Cold Bay,US,CDB,PACD,55.207871,-162.725029
16709,PACE,small_airport,Central Airport,Central,US,CEM,PACE,65.573815,-144.780707
16714,PACI,small_airport,Chalkyitsik Airport,Chalkyitsik,US,CIK,PACI,66.644997,-143.740005
16711,PACK,small_airport,Chefornak Airport,Chefornak,US,CYF,PACK,60.136667,-164.279167
5347,PACM,small_airport,Scammon Bay Airport,Scammon Bay,US,SCM,PACM,61.84471,-165.575209
16954,PACR,small_airport,Circle City (New) Airport,Circle,US,IRC,PACR,65.827673,-144.076195
5348,PACV,medium_airport,Merle K (Mudhole) Smith Airport,Cordova,US,CDV,PACV,60.491798,-145.477997
17058,PACY,small_airport,Yakataga Airport,Yakataga,US,CYT,PACY,60.080974,-142.494541
5350,PADE,medium_airport,Deering Airport,Deering,US,DRG,PADE,66.068901,-162.766914
16092,PADK,medium_airport,Adak Airport,Adak,US,ADK,PADK,51.883564,-176.642783
5351,PADL,medium_airport,Dillingham Airport,Dillingham,US,DLG,PADL,59.04470062,-158.5050049
5352,PADM,small_airport,Marshall Don Hunter Sr Airport,Marshall,US,MLL,PADM,61.8643,-162.026001
5353,PADQ,medium_airport,Kodiak Airport,Kodiak,US,ADQ,PADQ,57.75,-152.4940033
5354,PADU,medium_airport,Tom Madsen (Dutch Harbor) Airport,Unalaska,US,DUT,PADU,53.89881,-166.544996
17155,PADY,small_airport,Kongiganak Airport,Kongiganak,US,KKH,PADY,59.9608,-162.880997
17176,PAEE,small_airport,Eek Airport,Eek,US,EEK,PAEE,60.213173,-162.044048
17174,PAEG,small_airport,Eagle Airport,Eagle,US,EAA,PAEG,64.778003,-141.150455
17178,PAEL,seaplane_base,Elfin Cove Seaplane Base,Elfin Cove,US,ELV,PAEL,58.1952018738,-136.347000122
5358,PAEM,medium_airport,Emmonak Airport,Emmonak,US,EMK,PAEM,62.78609848,-164.4909973
5359,PAEN,medium_airport,Kenai Municipal Airport,Kenai,US,ENA,PAEN,60.570946,-151.245174
506827,PAEW,small_airport,Mertarvik Airport,Mertarvik,US,WWT,PAEW,60.81037,-164.499511
5360,PAFA,medium_airport,Fairbanks International Airport,Fairbanks,US,FAI,PAFA,64.815102,-147.856003
5363,PAFM,medium_airport,Ambler Airport,Ambler,US,ABL,PAFM,67.105529,-157.855339
17469,PAFS,small_airport,Nikolai Airport,Nikolai,US,NIB,PAFS,63.017949,-154.360399
5365,PAGA,medium_airport,Edward G. Pitka Sr Airport,Galena,US,GAL,PAGA,64.736198,-156.936997
17595,PAGG,small_airport,Kwigillingok Airport,Kwigillingok,US,KWK,PAGG,59.876499,-163.169005
5366,PAGH,small_airport,Shungnak Airport,Shungnak,US,SHG,PAGH,66.88809967041,-157.16200256348
5367,PAGK,medium_airport,Gulkana Airport,Gulkana,US,GKN,PAGK,62.155859,-145.454662
22694,PAGL,small_airport,Golovin Airport,Golovin,US,GLV,PAGL,64.550499,-163.007004
5368,PAGM,medium_airport,Gambell Airport,Gambell,US,GAM,PAGM,63.767694,-171.733303
16093,PAGN,seaplane_base,Angoon Seaplane Base,Angoon,US,AGN,PAGN,57.497097,-134.56722
5369,PAGS,medium_airport,Gustavus Airport,Gustavus,US,GST,PAGS,58.4253006,-135.7070007
17885,PAGT,small_airport,Nightmute Airport,Nightmute,US,NME,PAGT,60.469129,-164.70407
24574,PAGY,small_airport,Skagway Airport,Skagway,US,SGY,PAGY,59.460343,-135.316651
17619,PAHC,medium_airport,Holy Cross Airport,Holy Cross,US,HCR,PAHC,62.18830108642578,-159.77499389648438
5370,PAHL,medium_airport,Huslia Airport,Huslia,US,HSL,PAHL,65.697899,-156.350998
5372,PAHN,medium_airport,Haines Airport,Haines,US,HNS,PAHN,59.243921,-135.523925
5373,PAHO,medium_airport,Homer Airport,Homer,US,HOM,PAHO,59.644456,-151.479235
5374,PAHP,small_airport,Hooper Bay Airport,Hooper Bay,US,HPB,PAHP,61.523899,-166.147003
17656,PAHU,small_airport,Hughes Airport,Hughes,US,HUS,PAHU,66.04109955,-154.2630005
17658,PAHY,seaplane_base,Hydaburg Seaplane Base,Hydaburg,US,HYG,PAHY,55.205227,-132.830286
17884,PAIG,small_airport,Igiugig Airport,Igiugig,US,IGG,PAIG,59.324001,-155.901993
5375,PAII,medium_airport,Egegik Airport,Egegik,US,EGX,PAII,58.184386,-157.374873
5376,PAIK,medium_airport,Bob Baker Memorial Airport,Kiana,US,IAN,PAIK,66.976128,-160.439014
5377,PAIL,medium_airport,Iliamna Airport,Iliamna,US,ILI,PAIL,59.754398,-154.910996
5378,PAIM,medium_airport,Indian Mountain LRRS Airport,Utopia Creek,US,UTO,PAIM,65.992798,-153.703995
18251,PAIW,small_airport,Wales Airport,Wales,US,WAA,PAIW,65.622593,-168.095
5379,PAJN,medium_airport,Juneau International Airport,Juneau,US,JNU,PAJN,58.354935,-134.574416
18300,PAJZ,small_airport,Koliganek Airport,Koliganek,US,KGK,PAJZ,59.726600647,-157.259002686
19891,PAKF,small_airport,False Pass Airport,False Pass,US,KFP,PAKF,54.84751,-163.407168
16192,PAKH,small_airport,Akhiok Airport,Akhiok,US,AKK,PAKH,56.938702,-154.182999
17979,PAKI,small_airport,Kipnuk Airport,Kipnuk,US,KPN,PAKI,59.931796,-164.028196
20272,PAKK,small_airport,Koyuk Alfred Adams Airport,Koyuk,US,KKA,PAKK,64.939499,-161.154007
5380,PAKN,medium_airport,King Salmon Airport,King Salmon,US,AKN,PAKN,58.677845,-156.651965
17980,PAKO,small_airport,Nikolski Air Station,Nikolski,US,IKO,PAKO,52.941552,-168.849478
5381,PAKP,medium_airport,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,AKP,PAKP,68.133598,-151.742996
5382,PAKT,medium_airport,Ketchikan International Airport,Ketchikan,US,KTN,PAKT,55.35559845,-131.7140045
19274,PAKV,small_airport,Kaltag Airport,Kaltag,US,KAL,PAKV,64.31864,-158.74197
5383,PAKW,medium_airport,Klawock Airport,Klawock,US,KLW,PAKW,55.579201,-133.076004
21434,PAKY,small_airport,Karluk Airport,Karluk,US,KYK,PAKY,57.565919,-154.453762
9282,PALB,small_airport,Larsen Bay Airport,Larsen Bay,US,KLN,PALB,57.53516,-153.976455
20333,PALG,small_airport,Kalskag Airport,Kalskag,US,KLG,PALG,61.53630065917969,-160.34100341796875
25016,PALJ,small_airport,Port Alsworth Airport,Port Alsworth,US,PTA,PALJ,60.201681,-154.325863
5385,PALU,medium_airport,Cape Lisburne LRRS Airport,Cape Lisburne,US,LUR,PALU,68.875099,-166.110001
21843,PAMB,small_airport,Manokotak Airport,Manokotak,US,KMO,PAMB,58.932056,-158.901886
21844,PAMC,medium_airport,McGrath Airport,McGrath,US,MCG,PAMC,62.95289993,-155.6060028
5371,PAMH,small_airport,Minchumina Airport,Minchumina,US,LMA,PAMH,63.886002,-152.302002
24578,PAMK,small_airport,St Michael Airport,St Michael,US,SMK,PAMK,63.49010086,-162.1100006
